Symbiodinium42993	PFAM SMP-30 Gluconolaconase
Symbiodinium30977	K homology RNA-binding domain
Symbiodinium6385	Peptide chain release factor 2 directs the termination of translation in response to the peptide chain termination codons UGA and UAA
Symbiodinium55238	Mitochondrial carrier protein
Symbiodinium46776	Mitogen-activated protein kinase
Symbiodinium30359	acetylcholinesterase activity
Symbiodinium8177	Protein tyrosine kinase
Symbiodinium28218	positive regulation of catalytic activity in other organism involved in symbiotic interaction
Symbiodinium29483	Splicing factor 3B subunit
Symbiodinium47396	Trypsin
Symbiodinium29454	Cold shock protein domain
Symbiodinium24225	Belongs to the agmatine deiminase family
Symbiodinium19476	Ubiquitin carrier protein. Source PGD
Symbiodinium44435	FK506 binding
Symbiodinium27032	Catalyzes the phosphorylation of pyruvate to phosphoenolpyruvate
Symbiodinium31267	cAMP-dependent protein kinase activity
Symbiodinium19634	Flavin-binding monooxygenase-like
Symbiodinium10871	Belongs to the ALAD family
Symbiodinium40416	Protein tyrosine kinase
Symbiodinium37414	GTP binding
Symbiodinium51514	3-dehydroquinate synthase (EC 4.6.1.3)
Symbiodinium18789	small RNA degrading nuclease
Symbiodinium50439	GTPase activator activity
Symbiodinium13116	O-methyltransferase activity
Symbiodinium56711	O-methyltransferase
Symbiodinium9412	calcium-dependent cysteine-type endopeptidase activity
Symbiodinium30766	Isochorismatase family
Symbiodinium70680	Binds the poly(A) tail of mRNA
Symbiodinium11224	chromosome condensation
Symbiodinium7222	EXOIII
Symbiodinium42411	cardiolipin hydrolase activity
Symbiodinium54154	preribosome binding
Symbiodinium39423	Nucleotide-sugar transporter
Symbiodinium48690	peptidyl-prolyl cis-trans isomerase activity
Symbiodinium39578	Belongs to the DEAD box helicase family
Symbiodinium30096	Cation efflux family
Symbiodinium38506	Mei2-like
Symbiodinium13052	-
Symbiodinium46793	2-acylglycerol O-acyltransferase activity
Symbiodinium25263	Protein kinase domain
Symbiodinium27298	photosynthetic electron transport in photosystem II
Symbiodinium34400	urease activity
Symbiodinium30570	spermatogenesis associated 4
Symbiodinium18762	Specifically methylates the N4 position of cytidine in position 1402 (C1402) of 16S rRNA
Symbiodinium27005	Lysophosphatidylcholine acyltransferase 2B-like
Symbiodinium23159	Sec63 Brl domain
Symbiodinium57459	NOL1 NOP2 Sun domain family, member 2
Symbiodinium13217	Lariat debranching enzyme B. Source PGD
Symbiodinium5947	oxidoreductase activity
Symbiodinium29306	-
Symbiodinium30350	Short-chain dehydrogenase reductase sdr
Symbiodinium56743	Pyridoxal phosphate phosphatase. Source PGD
Symbiodinium32776	Splicing factor 45
Symbiodinium39713	DegT/DnrJ/EryC1/StrS aminotransferase family
Symbiodinium44402	belongs to the actin family
Symbiodinium33996	kinase protein binding protein kinase protein serine threonine kinase
Symbiodinium5077	ATP binding
Symbiodinium12373	GTP-binding protein
Symbiodinium47051	Calcium-dependent protein kinase
Symbiodinium27920	Involved in biosynthesis of the thiamine precursor thiazole. Catalyzes the conversion of NAD and glycine to adenosine diphosphate 5-(2-hydroxyethyl)-4-methylthiazole-2-carboxylic acid (ADT), an adenylated thiazole intermediate. The reaction includes an iron-dependent sulfide transfer from a conserved cysteine residue of the protein to a thiazole intermediate. The enzyme can only undergo a single turnover, which suggests it is a suicide enzyme. May have additional roles in adaptation to various stress conditions and in DNA damage tolerance
Symbiodinium25545	TatD related DNase
Symbiodinium24033	Asparaginase, N-terminal
Symbiodinium34743	Belongs to the type-B carboxylesterase lipase family
Symbiodinium47671	Ankyrin repeat
Symbiodinium11847	RNA recognition motif 2
Symbiodinium39280	Glycosyltransferase sugar-binding region containing DXD motif
Symbiodinium40920	polyketide synthase
Symbiodinium16216	HD domain
Symbiodinium33991	Nucleolar GTP-binding protein
Symbiodinium27489	very-low-density lipoprotein particle binding
Symbiodinium8966	Threonyl and Alanyl tRNA synthetase second additional domain
Symbiodinium45727	PRP38 family
Symbiodinium12956	gtp-binding protein
Symbiodinium44250	Alpha beta superfamily hydrolase
Symbiodinium44041	E3 ubiquitin-protein ligase
Symbiodinium21387	Responsible for synthesis of pseudouridine from uracil
Symbiodinium5371	Glycosyltransferase
Symbiodinium57190	heat shock protein binding
Symbiodinium48219	Peptidase M76 family
Symbiodinium55898	F-box protein SKIP16-like
Symbiodinium18812	Mannosyl (alpha-1,3-)-glycoprotein beta-1,2-N-acetylglucosaminyltransferase
Symbiodinium37370	Four repeated domains in the Fasciclin I family of proteins, present in many other contexts.
Symbiodinium41321	N-(5'phosphoribosyl)anthranilate (PRA) isomerase
Symbiodinium9444	Capping protein (actin filament) muscle Z-line, beta
Symbiodinium15432	dynein intermediate chain
Symbiodinium19218	Uncharacterized protein family UPF0054
Symbiodinium51729	MMPL family
Symbiodinium7825	Golgi calcium ion transport
Symbiodinium9918	Catalyzes the conversion of 1-hydroxy-2-methyl-2-(E)- butenyl 4-diphosphate (HMBPP) into a mixture of isopentenyl diphosphate (IPP) and dimethylallyl diphosphate (DMAPP). Acts in the terminal step of the DOXP MEP pathway for isoprenoid precursor biosynthesis
Symbiodinium24899	Chaperone protein dnaJ 11
Symbiodinium45304	Sodium/hydrogen exchanger family
Symbiodinium38590	Cytochrome b5-like Heme/Steroid binding domain
Symbiodinium57398	Glycosyl transferase family 2
Symbiodinium51371	KR domain
Symbiodinium40171	3'-phosphoadenosine 5'-phosphosulfate transmembrane transporter activity
Symbiodinium12116	Belongs to the BolA IbaG family
Symbiodinium39004	Belongs to the protein kinase superfamily
Symbiodinium45178	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Myosin family
Symbiodinium38563	Periodic tryptophan protein 1 homolog
Symbiodinium31139	Plays an important role in the de novo pathway and in the salvage pathway of purine nucleotide biosynthesis. Catalyzes the first commited step in the biosynthesis of AMP from IMP
Symbiodinium27865	Belongs to the ubiquitin-conjugating enzyme family
Symbiodinium37277	Tubulin tyrosine ligase-like family, member 5
Symbiodinium36761	Glutaredoxin. Source PGD
Symbiodinium22710	Belongs to the class I-like SAM-binding methyltransferase superfamily. RsmB NOP family
Symbiodinium48858	Protein present in Fab1, YOTB, Vac1, and EEA1
Symbiodinium29333	GTPase activity
Symbiodinium29182	Enolase, N-terminal domain
Symbiodinium37579	NADH oxidation
Symbiodinium19258	procollagen-proline 4-dioxygenase activity
Symbiodinium36205	Bystin
Symbiodinium34023	Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha chain
Symbiodinium29178	-
Symbiodinium46048	otu domain-containing protein
Symbiodinium34292	Serine Threonine protein
Symbiodinium12758	Pro-kumamolisin, activation domain
Symbiodinium26143	photosynthesis
Symbiodinium43806	Thioredoxin
Symbiodinium24609	Belongs to the type-B carboxylesterase lipase family
Symbiodinium45972	Belongs to the class I-like SAM-binding methyltransferase superfamily. C5-methyltransferase family
Symbiodinium53235	Flavodoxin-like fold
Symbiodinium41584	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay
Symbiodinium39065	protein serine/threonine kinase activity
Symbiodinium34148	Glycosyl hydrolases family 16
Symbiodinium9704	palmitoyl-(protein) hydrolase activity
Symbiodinium46128	(FHA) domain
Symbiodinium24944	AAA domain
