Symbiodinium52236	K00738
Symbiodinium28218	K09553
Symbiodinium23976	K07126
Symbiodinium47396	K25897
Symbiodinium7140	K00592
Symbiodinium19476	K10573
Symbiodinium31267	K07376
Symbiodinium9412	K08582
Symbiodinium54154	K13525
Symbiodinium39578	K12823
Symbiodinium12013	K10799
Symbiodinium30570	K25616
Symbiodinium29306	K25554
Symbiodinium39713	K13010
Symbiodinium52357	K10407
Symbiodinium47671	K10380
Symbiodinium18984	K24469
Symbiodinium44250	K01076
Symbiodinium40171	K15277
Symbiodinium12511	K06182
Symbiodinium38563	K14791
Symbiodinium22710	K15335
Symbiodinium25582	K16726
Symbiodinium24609	K03929
Symbiodinium41584	K14326
Symbiodinium39065	K12132
Symbiodinium48334	K02959
Symbiodinium34610	K00999
Symbiodinium54274	K08339
Symbiodinium44234	K16462
Symbiodinium20627	K12818
Symbiodinium32849	K04799
Symbiodinium38200	K11426
Symbiodinium34644	K15272
Symbiodinium23827	K01240
Symbiodinium14444	K03320
Symbiodinium21516	K11855
Symbiodinium28094	K25439
Symbiodinium37770	K14379
Symbiodinium13612	K21396
Symbiodinium25481	K14803
Symbiodinium18786	K03165
Symbiodinium25904	K18060
Symbiodinium56448	K14209
Symbiodinium48144	K00797
Symbiodinium29437	K10418
Symbiodinium40037	K07937
Symbiodinium15637	K17914
Symbiodinium20768	K16726
Symbiodinium21337	K16726
Symbiodinium15591	K12573
Symbiodinium55298	K10380
Symbiodinium42605	K01792
Symbiodinium34796	K01758
Symbiodinium46449	K22824
Symbiodinium36912	K14944
Symbiodinium28957	K02377
Symbiodinium37250	K03686
Symbiodinium25212	K16462
Symbiodinium34041	K17686
Symbiodinium9763	K19375
Symbiodinium32035	K00574
Symbiodinium51671	K15504
Symbiodinium29498	K15104
Symbiodinium49062	K04841
Symbiodinium47852	K22762
Symbiodinium8454	K08606
Symbiodinium48061	K01254
Symbiodinium19380	K01539
Symbiodinium45189	K14963
Symbiodinium32194	K12373
Symbiodinium46342	K03777
Symbiodinium38375	K00252
Symbiodinium12926	K24185
Symbiodinium15412	K02335
Symbiodinium40980	K00645
Symbiodinium28593	K11279
Symbiodinium51949	K00543
Symbiodinium23173	K23435
Symbiodinium14206	K03434
Symbiodinium5960	K14411
Symbiodinium26958	K06180
Symbiodinium38407	K26441
Symbiodinium40685	K11971
Symbiodinium5629	K08994
Symbiodinium28513	K02371
Symbiodinium26633	K04615
Symbiodinium6478	K00898
Symbiodinium32988	K13412
Symbiodinium23245	K06180
Symbiodinium24972	K03128
Symbiodinium21356	K06180
Symbiodinium37364	K03686
Symbiodinium60340	K12598
Symbiodinium10750	K01076
Symbiodinium32303	K01052
Symbiodinium19648	K02493
Symbiodinium53038	K22684
Symbiodinium49534	K15095
Symbiodinium8587	K12580
Symbiodinium23441	K26544
Symbiodinium55133	K06711
Symbiodinium53313	K11323
Symbiodinium50412	K24242
Symbiodinium18185	K06180
Symbiodinium46167	K01733
Symbiodinium5574	K06178
Symbiodinium12127	K17535
Symbiodinium50698	K00059
Symbiodinium51132	K01557
Symbiodinium43006	K14301
Symbiodinium13976	K15523
Symbiodinium58465	K03827
Symbiodinium44381	K22763
Symbiodinium5880	K13026
Symbiodinium34917	K10380
Symbiodinium10796	K03403
Symbiodinium6987	K18798
Symbiodinium55109	K15083
Symbiodinium36022	K05208
Symbiodinium39361	K11839
Symbiodinium9961	K02111
Symbiodinium44902	K07903
Symbiodinium11353	K05794
Symbiodinium51978	K00274
Symbiodinium8488	K08958
Symbiodinium31496	K00939
Symbiodinium54245	K00224
Symbiodinium54604	K13761
Symbiodinium56622	K16573
Symbiodinium39274	K03424
Symbiodinium7541	K12440
Symbiodinium18765	K07376
